,RBR,X,Y,AET_1981_2010,dist_streams_wetlands,ESI,FRS,T_max_bpd,pct_canopy_cover,canopy_rumple,pctl_25_canopy_height,pctl_95_canopy_height,Pct_1_tree_clumps,Pct_2_4_tree_clumps,Pct_5_9_tree_clumps,Pct_gteq10_tree_clumps,topo_aspect,topo_curvature_45,topo_plan_curvature,topo_slope_135,topo_SRI,topo_SRI_270,topo_TPI_4000,topo_TPI_500,SCF,wind_northsouthness,Rx,EVT_PP
930,9,-121.176219,42.85327723,488.1972351,316.380249,0.313494951,0.7484442,302.7999878,24.38689995,2.432399988,12.97309971,34.52220154,100,0,0,0,37.49539948,0.044599999,0.032299999,7.791600227,1.650200009,1.632200003,-1373,-249,0.419178069,-0.017453084,1,1
931,15,-121.1754106,42.85327723,488.1972351,290.3527832,0.283529311,0.7484442,302.7999878,21.98489952,1.559800029,14.92459965,32.32160187,18.07393884,81.92606116,0,0,46.87559891,0.162699997,-0.104099996,6.138899803,1.647699952,1.647400022,-1893,-204,0.419178069,-0.03490017,1,0
932,56,-121.1746021,42.85327723,489.5602112,268.5739441,0.300914079,0.678961396,300.2000122,34.92010117,4.124300003,7.677800179,33.05160141,79.68821467,20.31178533,0,0,44.01919937,-0.221799999,0.071000002,6.13380003,1.667299986,1.654000044,-2489,-386,0.419178069,-0.207912326,1,0
933,19,-121.1737936,42.85327723,490.1662598,263.0038147,0.300914079,0.678961396,300.2000122,50.62649918,3.760799885,6.497200012,26.91860008,22.62282274,77.37717726,0,0,52.37919998,0.146300003,-0.0491,5.799600124,1.66900003,1.656999946,-2690,-205,0.419178069,-0.207912326,1,1
934,-3,-121.1729851,42.85327723,490.258728,250.8388519,0.320914328,0.678961396,300.2000122,40.02510071,2.226900101,4.07859993,14.43529987,57.95127502,37.97938558,4.069339402,0,45.84970093,0.031599998,-0.094599999,4.539599895,1.664100051,1.662099957,-3070,-222,0.400000006,-0.207912326,1,1
935,104,-121.1721766,42.85327723,490.258728,226.7274323,0.275412679,0.655579448,300.2000122,52.7507019,2.116400003,8.170700073,19.87039948,50.30404334,19.24262947,30.45332719,0,55.854599,0.0122,-0.076800004,4.330900192,1.674800038,1.667400002,-3293,-280,0.400000006,-0.224951684,1,1
936,29,-121.1713681,42.85327723,490.5394592,201.3666534,0.275412679,0.655579448,300.2000122,35.39789963,3.00999999,7.881599903,14.70359993,53.35551858,46.64448142,0,0,67.68650055,0.0177,-0.1193,3.407299995,1.688799977,1.682600021,-3610,-302,0.400000006,-0.241922528,1,1
937,-47,-121.1705597,42.85327723,491.9823914,168.6949768,0.289449543,0.655579448,300.2000122,24.97159958,2.82220006,7.855999947,15.35050011,70.13077838,29.86922162,0,0,67.3934021,-0.054200001,0.0788,2.685400009,1.694300056,1.692100048,-3768,-336,0.400000006,-0.241922528,1,1
938,19,-121.1640918,42.85327723,506.95401,0,0.310135067,0.635647476,300.2000122,37.87770081,2.268899918,6.27699995,25.24239922,56.19663821,29.09885272,14.70450907,0,117.1791992,-0.0077,-0.0187,0.531499982,1.710899949,1.698600054,-3411,-120,0.356164396,-0.224951684,1,0
939,5,-121.1632833,42.85327723,506.95401,0,0.31034863,0.635647476,300.2000122,16.96489906,1.459699988,2.981300116,11.92640018,34.01586895,65.98413105,0,0,95.70860291,-0.0059,-0.052999999,0.503600001,1.707900047,1.699900031,-3397,-103,0.356164396,-0.224951684,1,0
940,74,-121.1608579,42.85327723,507.1178284,0,0.361809403,0.571446955,300.8999939,28.0977993,1.478399992,10.28629971,21.56570053,100,0,0,0,154.2519073,0.0217,0.081900001,0.391600013,1.712299943,1.70449996,-3118,-60,0.356164396,-0.224951684,1,0
941,189,-121.1600494,42.85327723,507.1178284,0,0.394704401,0.571446955,300.8999939,38.61750031,2.370800018,13.05049992,24.43919945,71.27008274,28.72991726,0,0,131.8943024,0.0108,-0.018200001,0.40079999,1.710899949,1.709400058,-2891,-61,0.331506848,-0.681998789,1,0
942,-5,-121.1859208,42.85246875,500.1784058,481.4315796,0.309497565,0.722038209,302.7999878,53.4382019,3.652299881,4.082399845,32.24020004,32.38275667,67.61724333,0,0,27.09350014,0.1373,-0.150299996,10.9382,1.607200027,1.632799983,2661,192,0.432876706,-0.34202075,1,0
943,98,-121.1851124,42.85246875,499.9798889,464.7414551,0.31233573,0.722038209,302.7999878,41.11909866,3.921299934,5.969500065,30.87660027,57.73907446,42.26092554,0,0,22.6439991,-0.124499999,0.211899996,9.685799599,1.627799988,1.613999963,2498,-73,0.432876706,-0.309017599,1,0
944,-86,-121.1843039,42.85246875,499.9798889,456.0773315,0.31233573,0.542964995,302.7999878,46.95830154,3.809200048,16.93540001,32.12440109,24.5972834,75.4027166,0,0,26.22270012,-0.0638,0.38319999,9.163700104,1.590199947,1.615700006,2360,-176,0.432876706,-0.292372316,1,0
945,42,-121.1834954,42.85246875,498.5601501,441.3213501,0.291558325,0.542964995,302.7999878,57.42179871,4.186699867,6.526400089,21.97470093,59.13998984,12.12525407,28.7347561,0,13.67280006,0.154100001,-0.132200003,7.314400196,1.621799946,1.63409996,2171,-107,0.432876706,-0.275637984,1,0
946,-80,-121.1826869,42.85246875,500.7996216,431.1399536,0.291558325,0.596554637,302.7999878,20.64119911,2.94569993,10.96660042,22.60560036,100,0,0,0,10.6850996,-0.134200007,0.408899993,6.700399876,1.619600058,1.641700029,1946,-41,0.430136979,-0.275637984,1,0
947,-68,-121.1818784,42.85246875,499.7554932,409.2163086,0.291763514,0.596554637,302.7999878,27.59339905,2.291500092,6.237800121,16.32780075,100,0,0,0,352.2557983,0.27669999,-0.217299998,6.907299995,1.57889998,1.645900011,2314,658,0.430136979,-0.275637984,1,1
948,-32,-121.1810699,42.85246875,499.7554932,399.9667358,0.30355984,0.542964995,302.7999878,32.63710022,2.779200077,7.432099819,22.40060043,54.99228682,45.00771318,0,0,4.120200157,0.078699999,-0.085699998,7.508399963,1.594900012,1.644299984,2480,944,0.430136979,-0.275637984,1,1
949,-64,-121.1802615,42.85246875,495.6651611,409.7185059,0.30355984,0.542964995,302.7999878,40.94409943,2.301000118,7.659100056,28.48600006,36.30970965,63.69029035,0,0,15.14560032,0.274300009,-0.041000001,8.544199944,1.565000057,1.640900016,2241,1011,0.430136979,-0.275637984,1,0
950,-9,-121.179453,42.85246875,491.5201721,420.1253967,0.326385349,0.542964995,302.7999878,33.82289886,2.897799969,10.20890045,20.89229965,74.16990727,25.83009273,0,0,27.1739006,-0.071000002,0.141800001,9.048600197,1.547500014,1.636700034,1751,661,0.430136979,-0.275637984,1,0
951,15,-121.1786445,42.85246875,491.5201721,442.9954834,0.326385349,0.542964995,302.7999878,43.69139862,2.913700104,10.37230015,19.12369919,44.92508694,55.07491306,0,0,7.968800068,-0.056899998,-0.035599999,9.248100281,1.552899957,1.633200049,1681,667,0.430136979,-0.275637984,1,0
952,-31,-121.177836,42.85246875,487.6004028,458.9536743,0.316574514,0.7484442,302.7999878,29.53700066,2.633399963,10.69379997,25.08860016,78.76248791,21.23751209,0,0,25.57570076,0.094300002,-0.045600001,10.45040035,1.577600002,1.630699992,1470,705,0.419178069,-0.241922528,1,0
953,28,-121.1770275,42.85246875,484.4932251,426.3440247,0.344424933,0.7484442,302.7999878,50.25999832,3.155999899,8.952300072,30.10619926,63.35662877,36.64337123,0,0,22.05879974,0.431199998,-0.047499999,9.709899902,1.519899964,1.633999944,1006,595,0.419178069,-0.207912326,1,1
954,87,-121.176219,42.85246875,484.6152344,395.9364929,0.344424933,0.7484442,302.7999878,54.94800186,2.954400063,6.493999958,23.25289917,20.19574585,68.63252957,11.17172458,0,46.51839828,-0.38409999,-0.075000003,9.242699623,1.543900013,1.638700008,-130,-93,0.419178069,-0.207912326,1,1
955,23,-121.1754106,42.85246875,484.6152344,378.8451843,0.283529311,0.7484442,302.7999878,39.16699982,3.318099976,15.18010044,31.7507,51.22759983,48.77240017,0,0,41.34489822,0.092600003,-0.041900001,7.872200012,1.656100035,1.643700004,-837,-211,0.419178069,-0.224951684,1,1
956,78,-121.1746021,42.85246875,486.9974976,357.8560486,0.304494828,0.678961396,302.7999878,53.17890167,4.402800083,7.806799889,29.72739983,25.8876181,74.1123819,0,0,39.49610138,0.098399997,-0.039000001,6.806000233,1.639799953,1.656599998,-1265,-160,0.419178069,-0.224951684,1,1
957,88,-121.1737936,42.85246875,487.838623,352.1800537,0.346525431,0.678961396,300.2000122,60.45709991,4.232299805,15.7638998,32.22140121,39.26610671,60.73389329,0,0,53.03749847,-0.1175,-0.039000001,6.805099964,1.655500054,1.666399956,-1967,-265,0.419178069,-0.224951684,1,1
958,17,-121.1729851,42.85246875,487.7131958,333.4666748,0.320914328,0.678961396,300.2000122,25.50429916,3.086600065,4.770999908,16.05970001,57.56291813,42.43708187,0,0,62.01390076,-0.049400002,-0.0123,6.674499989,1.67869997,1.671499968,-2372,-191,0.400000006,-0.241922528,1,1
959,88,-121.1721766,42.85246875,487.7131958,312.0613098,0.307743937,0.678961396,300.2000122,36.56499863,2.486999989,5.630599976,17.23040009,55.64106989,44.35893011,0,0,57.37960052,-0.018100001,0.032400001,5.952000141,1.673699975,1.675899982,-2650,-219,0.400000006,-0.241922528,1,1
960,42,-121.1713681,42.85246875,488.0683289,274.4806824,0.30114767,0.691138685,300.2000122,39.50009918,2.764699936,4.69329977,14.87139988,40.537499,32.7322419,26.7302591,0,58.31060028,-0.012,0.128600001,4.317599773,1.67719996,1.682199955,-3050,-343,0.400000006,-0.241922528,1,1
961,-29,-121.1705597,42.85246875,490.2894897,202.7911835,0.30114767,0.691138685,300.2000122,32.65670013,2.501600027,7.653900146,14.98880005,47.27978761,45.29856956,7.421642826,0,62.04809952,0.0228,-0.262899995,3.371400118,1.680299997,1.688899994,-3235,-405,0.400000006,-0.241922528,1,1
962,-61,-121.1697512,42.85246875,493.7843628,138.7305145,0.261256486,0.691138685,300.2000122,27.95070076,3.166300058,11.0557003,20.02429962,23.04680946,27.39779654,49.55539399,0,63.71099854,-0.0153,-0.0121,2.388000011,1.691900015,1.695600033,-3402,-385,0.400000006,-0.258819669,1,1
963,23,-121.1649003,42.85246875,504.3267517,92.48700714,0.287595242,0.635647476,300.2000122,44.42890167,2.585500002,6.206200123,17.35569954,44.59727465,29.7197876,25.68293775,0,357.4682922,0.044300001,-0.0084,0.91140002,1.697900057,1.689399958,-3327,-238,0.400000006,-0.224951684,1,0
964,157,-121.1640918,42.85246875,503.9291992,73.11740112,0.361309677,0.635647476,300.2000122,56.40280151,3.670700073,8.514399529,22.72960091,33.2694896,42.24816234,24.48234807,0,100.5075989,0.027899999,-0.023,0.994000018,1.708899975,1.6796,-3280,-279,0.356164396,-0.224951684,1,0
965,113,-121.1632833,42.85246875,503.9291992,48.8385849,0.373504728,0.635647476,300.2000122,59.23360062,3.352499962,7.941899776,16.94659996,18.10983116,49.46811442,32.42205442,0,10.40209961,0.016000001,0.017100001,0.925700009,1.701900005,1.67990005,-3283,-283,0.356164396,-0.224951684,1,0
966,160,-121.1624748,42.85246875,503.3512573,36.27639008,0.373504728,0.635647476,300.8999939,46.57690048,2.872100115,10.28859997,19.72220039,44.21133393,16.34742579,0,39.44124028,129.8809052,0.021600001,0.0306,0.957899988,1.714599967,1.683799982,-3229,-273,0.356164396,-0.224951684,1,0
967,132,-121.1616663,42.85246875,503.6736755,40.55823898,0.348114848,0.571446955,300.8999939,39.83330154,2.078399897,15.07839966,25.25740051,26.6148707,29.88026874,43.50486056,0,91.03800201,0.004,0.022399999,0.4912,1.70720005,1.692600012,-3169,-240,0.356164396,-0.224951684,1,0
968,110,-121.1608579,42.85246875,504.625946,0,0.357722998,0.571446955,300.8999939,23.58060074,3.112900019,12.5770998,22.23489952,37.60517226,62.39482774,0,0,41.12250137,-0.058499999,0.217500001,0.445600003,1.700000048,1.700099945,-3112,-255,0.356164396,-0.207912326,1,0
969,154,-121.1859208,42.85166026,498.5906372,526.0858154,0.355331749,0.579921663,302.7999878,63.05559921,2.69630003,4.420000076,13.22609997,16.92211213,7.28207701,75.79581086,0,13.54749966,0.042199999,-0.67750001,8.648500443,1.47239995,1.636299968,4597,1607,0.432876706,-0.358368546,1,0
970,72,-121.1851124,42.85166026,496.7225037,469.2326965,0.310109437,0.579921663,302.7999878,56.13589859,2.562299967,6.0770998,31.65089989,38.57870772,54.85147441,0,6.569817866,24.7439003,0.0462,-0.513700008,10.76430035,1.554100037,1.623800039,4220,1094,0.432876706,-0.309017599,1,0
971,-31,-121.1843039,42.85166026,496.7225037,423.4404297,0.304683596,0.596554637,302.7999878,45.55339813,3.47510004,8.014100075,28.8416996,52.98409127,47.01590873,0,0,3.210799932,-0.071599998,0.165099993,10.22420025,1.596500039,1.62559998,3803,523,0.432876706,-0.258819669,1,0
972,5,-121.1834954,42.85166026,494.3568726,382.7331238,0.260807484,0.596554637,302.7999878,27.86020088,2.661000013,3.988800049,26.43479919,69.85265418,30.14734582,0,0,34.54430008,-0.0253,-0.1514,5.742199898,1.641499996,1.646900058,3225,59,0.432876706,-0.258819669,1,0
973,-73,-121.1826869,42.85166026,499.4434509,344.7450256,0.301727086,0.596554637,302.7999878,16.16130066,2.26699996,10.02110004,24.96549988,100,0,0,0,18.77140045,-0.052999999,0.106600001,4.641200066,1.654800057,1.654999971,2964,20,0.430136979,-0.258819669,1,0
974,-37,-121.1818784,42.85166026,500.6228638,321.4096375,0.301727086,0.596554637,302.7999878,50.26950073,3.844899893,9.540200233,25.00020027,53.06814056,46.93185944,0,0,313.3377991,0.046799999,0.088699996,4.031599998,1.678500056,1.662299991,3179,695,0.430136979,-0.292372316,1,0
975,69,-121.1810699,42.85166026,500.6228638,309.5473022,0.320186257,0.542964995,302.7999878,53.06349945,3.118299961,6.024700165,21.43600082,29.17981477,70.82018523,0,0,335.8081055,0.201100007,-0.0559,3.451999903,1.677000046,1.666800022,3513,1311,0.430136979,-0.309017599,1,1
976,88,-121.1802615,42.85166026,497.7850952,319.4846191,0.320186257,0.542964995,302.7999878,57.13560104,3.068300009,5.775599957,20.64990044,35.00244203,64.99755797,0,0,5.699100018,0.154499993,-0.038800001,4.958499908,1.661900043,1.662299991,3573,1628,0.430136979,-0.309017599,1,1
977,97,-121.179453,42.85166026,493.4295349,335.5566101,0.321112424,0.542964995,302.7999878,43.84170151,2.74000001,5.166699886,14.08230019,32.99076473,57.21365019,9.795585088,0,34.38370132,0.445199996,-0.206699997,6.723999977,1.653499961,1.657699943,3670,1885,0.430136979,-0.309017599,1,1
